Reason,Description,Title,Rationale,condition,Result,ID,command,Policy ID,Remediation,Compliance,Rules
,prelinkis a program that modifies ELF shared libraries and ELF dynamically linked binaries in such a way that the time needed for the dynamic linker to perform relocations at startup significantly decreases.,Ensure prelink is disabled.,"The prelinking feature can interfere with the operation of AIDE, because it changes binaries. Prelinking can also increase the vulnerability of the system if a malicious user is able to compromise a common library such as libc.",all,passed,36032,which prelink,sca_distro_independent_linux,Run the following command to restore binaries to normal: # prelink -ua Uninstall prelink using the appropriate package manager or manual installation: # yum remove prelink # apt-get remove prelink # zypper remove prelink.,"[{""key"":""cis"",""value"":""1.5.4""},{""key"":""cis_csc_v7"",""value"":""14.9""},{""key"":""cmmc_v2.0"",""value"":""AU.3.050""},{""key"":""iso_27001-2013"",""value"":""A.12.4.3""},{""key"":""nist_sp_800-53"",""value"":""AU-3""},{""key"":""pci_dss_v3.2.1"",""value"":""10.2.1,11.5""}]","[{""type"":""numeric"",""rule"":""not c:which prelink -> r:/prelink""}]"
,SELinux and AppArmor provide Mandatory Access Controls.,Ensure SELinux or AppArmor are installed.,Without a Mandatory Access Control system installed only the default Discretionary Access Control system will be available.,any,passed,36033,"which setenforce,which getenforce,which aa-status",sca_distro_independent_linux,"Install SELinux or apparmor using the appropriate package manager or manual installation: # yum install libselinux # apt-get install libselinux1 # zypper install libselinux The previous commands install SELinux, use the appropriate package if AppArmor is desired. Notes: SELinux and AppArmor both have several package names in use on different distributions. Research the appropriate packages for your environment.","[{""key"":""cis"",""value"":""1.6.1.1""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""command"",""rule"":""c:which aa-status -> r:/aa-status""},{""type"":""command"",""rule"":""c:which getenforce -> r:/getenforce""},{""type"":""command"",""rule"":""c:which setenforce -> r:/setenforce""}]"
,Configure SELINUX to be enabled at boot time and verify that it has not been overwritten by the grub boot parameters.,Ensure SELinux is not disabled in bootloader configuration.,SELinux must be enabled at boot time in your grub configuration to ensure that the controls it provides are not overridden.,all,failed,36034,,sca_distro_independent_linux,"For grub based systems edit /boot/grub/menu.lst and remove all instances of selinux=0 and enforcing=0 on all kernel lines. For grub2 based systems edit /etc/default/grub and remove all instances of selinux=0 and enforcing=0 from all CMDLINE_LINUX parameters: GRUB_CMDLINE_LINUX_DEFAULT=""quiet"" GRUB_CMDLINE_LINUX="""" Run the following command to update the grub2 configuration: # update-grub or # grub2-mkconfig -o /boot/grub2/guub.cfg Notes: This recommendation is designed around the grub bootloader, if LILO or another bootloader is in use in your environment enact equivalent settings.","[{""key"":""cis"",""value"":""1.6.2.1""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""file"",""rule"":""f:/boot/grub/grub.cfg -> r:^\\s*linux && !r:selinux=0|enforcing=0""},{""type"":""file"",""rule"":""f:/boot/grub/menu.lst -> r:^\\s*kernel && !r:selinux=0|enforcing=0""},{""type"":""file"",""rule"":""f:/boot/grub2/grub.cfg -> r:^\\s*linux && !r:selinux=0|enforcing=0""}]"
Invalid path or wrong permissions to run command 'sestatus',Set SELinux to enable when the system is booted.,Ensure the SELinux state is enforcing.,SELinux must be enabled at boot time to ensure that the controls it provides are in effect at all times.,all,not applicable,36035,sestatus,sca_distro_independent_linux,Edit the /etc/selinux/config file to set the SELINUX parameter: SELINUX=enforcing.,"[{""key"":""cis"",""value"":""1.6.2.2""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""command"",""rule"":""c:sestatus -> r:^Current\\s*mode:\\s*\\t*enforcing$""},{""type"":""command"",""rule"":""c:sestatus -> r:^Mode from config file:\\s*\\t*enforcing$""},{""type"":""command"",""rule"":""c:sestatus -> r:^SELinux\\s*status:\\s*\\t*enabled$""},{""type"":""file"",""rule"":""f:/etc/selinux/config -> r:^\\s*SELINUX\\s*=\\s*enforcing""}]"
Invalid path or wrong permissions to run command 'sestatus',"Configure SELinux to meet or exceed the default targeted policy, which constrains daemons and system software only.",Ensure SELinux policy is configured.,"Security configuration requirements vary from site to site. Some sites may mandate a policy that is stricter than the default policy, which is perfectly acceptable. This item is intended to ensure that at least the default recommendations are met.",all,not applicable,36036,sestatus,sca_distro_independent_linux,"Edit the /etc/selinux/config file to set the SELINUXTYPE parameter: SELINUXTYPE=targeted Notes: If your organization requires stricter policies, ensure that they are set in the /etc/selinux/config file.","[{""key"":""cis"",""value"":""1.6.2.3""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""command"",""rule"":""c:sestatus -> r:^Policy from config file:\\s*\\t*targeted$|^Policy from config file:\\s+mls$|^Loaded policy name:\\s*\\t*targeted$|Loaded policy name:\\s+mls$|""},{""type"":""file"",""rule"":""f:/etc/selinux/config -> r:^\\s*SELINUXTYPE\\s*=\\s*targeted|^\\s*SELINUXTYPE\\s*=\\s*mls""}]"
,"The SETroubleshoot service notifies desktop users of SELinux denials through a user-friendly interface. The service provides important information around configuration errors, unauthorized intrusions, and other potential errors.",Ensure SETroubleshoot is not installed.,"The SETroubleshoot service is an unnecessary daemon to have running on a server, especially if X Windows is disabled.",all,passed,36037,which sealert,sca_distro_independent_linux,Uninstall setroubleshoot using the appropriate package manager or manual installation: # yum remove setroubleshoot # apt-get remove setroubleshoot # zypper remove setroubleshoot.,"[{""key"":""cis"",""value"":""1.6.2.4""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""numeric"",""rule"":""not c:which sealert -> r:/sealert""}]"
,The mcstransd daemon provides category label information to client processes requesting information. The label translations are defined in /etc/selinux/targeted/setrans.conf.,Ensure the MCS Translation Service (mcstrans) is not installed.,"Since this service is not used very often, remove it to reduce the amount of potentially vulnerable code running on the system.",all,passed,36038,which mcstransd,sca_distro_independent_linux,Uninstall mcstrans using the appropriate package manager or manual installation: yum remove mcstrans apt-get remove mcstrans zypper remove mcstrans.,"[{""key"":""cis"",""value"":""1.6.2.5""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""numeric"",""rule"":""not c:which mcstransd -> r:/mcstransd""}]"
Could not open file '/boot/grub/menu.lst',Configure AppArmor to be enabled at boot time and verify that it has not been overwritten by the bootloader boot parameters.,Ensure AppArmor is not disabled in bootloader configuration.,AppArmor must be enabled at boot time in your bootloader configuration to ensure that the controls it provides are not overridden.,any,not applicable,36039,,sca_distro_independent_linux,"For grub based systems edit /boot/grub/menu.lst and remove all instances of apparmor=0 on all kernel lines. For grub2 based systems edit /etc/default/grub and remove all instances of apparmor=0 from all CMDLINE_LINUX parameters: GRUB_CMDLINE_LINUX_DEFAULT=""quiet"" GRUB_CMDLINE_LINUX="""" Run the following command to update the grub2 configuration: # update-grub Notes: This recommendation is designed around the grub bootloader, if LILO or another bootloader is in use in your environment enact equivalent settings. Replace /boot/grub/menu.lst with the appropriate grub configuration file for your environment.","[{""key"":""cis"",""value"":""1.6.3.1""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cmmc_v2.0"",""value"":""AC.2.007,MP.2.120""},{""key"":""iso_27001-2013"",""value"":""A.9.1.1""},{""key"":""mitre_techniques"",""value"":""T1004,T1015,T1021,T1023,T1031,T1034,T1035,T1036,T1037,T1044,T1047,T1050,T1051,T1053,T1054,T1070,T1072,T1073,T1075,T1076,T1078,T1080,T1081,T1084,T1089,T1096,T1097,T1133,T1134,T1145,T1146,T1150,T1152,T1156,T1157,T1159,T1160,T1162,T1163,T1165,T1168,T1169,T1184,T1185,T1196,T1197,T1198,T1200,T1209,T1213,T1484,T1489,T1492,T1494,T1501,T1504,T1528,T1530,T1537,T1538""},{""key"":""nist_sp_800-53"",""value"":""AC-3""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""}]","[{""type"":""file"",""rule"":""f:/boot/grub/menu.lst -> r:^\\s*kernel|^\\s*linux && !r:apparmor=0""},{""type"":""file"",""rule"":""f:/etc/default/grub -> r:^\\s*kernel|^\\s*linux && !r:apparmor=0""}]"
,"The contents of the /etc/motd file are displayed to users after login and function as a message of the day for authenticated users. Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If mingetty(8) supports the following options, they display operating system information: \m - machine architecture \r - operating system release \s - operating system name \v - operating system version.",Ensure message of the day is configured properly.,"Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the "" uname -a "" command once they have logged in.",any,passed,36040,,sca_distro_independent_linux,"Edit the /etc/motd file with the appropriate contents according to your site policy, remove any instances of \m , \r , \s , \v or references to the OS platform.","[{""key"":""cis"",""value"":""1.7.1.1""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""numeric"",""rule"":""not f:/etc/motd""},{""type"":""numeric"",""rule"":""not f:/etc/motd -> r:\\\\v|\\\\r|\\\\m|\\\\s""}]"
,"The contents of the /etc/issue file are displayed to users prior to login for local terminals. Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If mingetty(8) supports the following options, they display operating system information: \m - machine architecture \r - operating system release \s - operating system name \v - operating system version - or the operating system's name.",Ensure local login warning banner is configured properly.,"Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the "" uname -a "" command once they have logged in.",none,passed,36041,,sca_distro_independent_linux,"Edit the /etc/issue file with the appropriate contents according to your site policy, remove any instances of \m , \r , \s , \v or references to the OS platform # echo ""Authorized uses only. All activity may be monitored and reported."" > /etc/issue.","[{""key"":""cis"",""value"":""1.7.1.2""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""file"",""rule"":""f:/etc/issue -> r:\\\\v|\\\\r|\\\\m|\\\\s""}]"
,"The contents of the /etc/issue.net file are displayed to users prior to login for remote connections from configured services. Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If mingetty(8) supports the following options, they display operating system information: \m - machine architecture \r - operating system release \s - operating system name \v - operating system version.",Ensure remote login warning banner is configured properly.,"Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the "" uname -a "" command once they have logged in.",none,passed,36042,,sca_distro_independent_linux,"Edit the /etc/issue.net file with the appropriate contents according to your site policy, remove any instances of \m , \r , \s , \v or references to the OS platform # echo ""Authorized uses only. All activity may be monitored and reported."" > /etc/issue.net.","[{""key"":""cis"",""value"":""1.7.1.3""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""file"",""rule"":""f:/etc/issue.net -> r:\\\\v|\\\\r|\\\\m|\\\\s""}]"
,The contents of the /etc/motd file are displayed to users after login and function as a message of the day for authenticated users.,Ensure permissions on /etc/motd are configured.,If the /etc/motd file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.,all,passed,36043,"stat -Lc ""%a %A %u %U %g %G"" /etc/motd",sca_distro_independent_linux,Run the following commands to set permissions on /etc/motd : # chown root:root /etc/motd # chmod 644 /etc/motd.,"[{""key"":""cis"",""value"":""1.7.1.4""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:stat -Lc \""%a %A %u %U %g %G\"" /etc/motd -> r:644 && r:0 root 0 root""}]"
,The contents of the /etc/issue file are displayed to users prior to login for local terminals.,Ensure permissions on /etc/issue are configured.,If the /etc/issue file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.,all,passed,36044,"stat -Lc ""%a %A %u %U %g %G"" /etc/issue",sca_distro_independent_linux,Run the following commands to set permissions on /etc/issue : # chown root:root /etc/issue # chmod 644 /etc/issue.,"[{""key"":""cis"",""value"":""1.7.1.5""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:stat -Lc \""%a %A %u %U %g %G\"" /etc/issue -> r:644 && r:0 root 0 root""}]"
,The contents of the /etc/issue.net file are displayed to users prior to login for remote connections from configured services.,Ensure permissions on /etc/issue.net are configured.,If the /etc/issue.net file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.,all,passed,36045,"stat -Lc ""%a %A %u %U %g %G"" /etc/issue.net",sca_distro_independent_linux,Run the following commands to set permissions on /etc/issue.net : # chown root:root /etc/issue.net # chmod 644 /etc/issue.net.,"[{""key"":""cis"",""value"":""1.7.1.6""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:stat -Lc \""%a %A %u %U %g %G\"" /etc/issue.net -> r:644 && r:0 root 0 root""}]"
,GDM is the GNOME Display Manager which handles graphical login for GNOME based systems.,Ensure GDM login banner is configured.,Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place.,any,passed,36046,,sca_distro_independent_linux,"Edit or create the file /etc/gdm3/greeter.dconf-defaults and add the following: [org/gnome/login-screen] banner-message-enable=true banner-message-text='Authorized uses only. All activity may be monitored and reported.' Notes: Additional options and sections may appear in the /etc/dconf/db/gdm.d/01-banner- message file. If a different GUI login service is in use, consult your documentation and apply an equivalent banner.","[{""key"":""cis"",""value"":""1.7.2""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""file"",""rule"":""f:/etc/dconf/db/gdm.d/01-banner-message -> r:[org/gnome/login-screen]""},{""type"":""file"",""rule"":""f:/etc/dconf/db/gdm.d/01-banner-message -> r:banner-message-enable=true""},{""type"":""file"",""rule"":""f:/etc/dconf/db/gdm.d/01-banner-message -> r:banner-message-text=""},{""type"":""file"",""rule"":""f:/etc/gdm3/greeter.dconf-defaults -> r:^[org/gnome/login-screen]""},{""type"":""file"",""rule"":""f:/etc/gdm3/greeter.dconf-defaults -> r:^banner-message-enable=true""},{""type"":""file"",""rule"":""f:/etc/gdm3/greeter.dconf-defaults -> r:^banner-message-text=\\.+""}]"
